Partners,date,DairyEggHoney,Cereal,Fish,FruitNut,LiveAnimal,Meat,Vegetables,TotalBalance,Rate Per Million,sub-region
Hong Kong,1/1/2019 0:00,-102689,-26038,-263611,-154358,-58134,-272593,-58511,-892468,0,Eastern Asia
Zambia,5/1/2020 0:00,-452,-7033,-5854,-481,289,-398,-130,29893,3,Sub-Saharan Africa
"Tanzania, United Republic of",1/1/2019 0:00,-294,3459,14383,839,6,332,3192,65383,0,Sub-Saharan Africa
Samoa,1/1/2019 0:00,-940,-271,1638,-52,-18,-1522,-59,42242,0,Polynesia
Brunei Darussalam,1/1/2019 0:00,-3562,-5663,-2981,-4285,-306,-1376,-2497,22796,0,South-eastern Asia
United Arab Emirates,1/1/2019 0:00,-57162,-90085,-33498,-69125,-5868,-127123,-48932,-388327,0,Western Asia
Antigua and Barbuda,1/1/2019 0:00,-1134,-177,-372,-545,-11,-1719,-795,38713,0,Latin America and the Caribbean
Saint Lucia,1/1/2019 0:00,-1465,-257,-324,102,4,-2499,-834,38193,0,Latin America and the Caribbean
Sao Tome and Principe,1/1/2019 0:00,-264,-1769,-29,-32,-17,-287,-273,40795,0,Sub-Saharan Africa
Bermuda,1/1/2019 0:00,-1367,-93,-1097,-1096,-19,-1737,-1054,37003,0,Northern America
India,1/1/2019 0:00,39472,743386,388341,-86950,1858,281787,-68381,1342979,0,Southern Asia
Argentina,6/1/2020 0:00,71894,829760,118738,71454,702,252972,52832,1442335,198,Latin America and the Caribbean
Dominica,1/1/2019 0:00,-467,-47,-59,159,-19,-971,112,42174,0,Latin America and the Caribbean
Armenia,6/1/2020 0:00,-4045,-2511,5715,1877,-358,-2392,2691,44960,1573,Western Asia
Guatemala,1/1/2019 0:00,-20592,-50150,-2933,93490,-1008,-17597,34121,78797,0,Latin America and the Caribbean
Australia,6/1/2020 0:00,85579,296311,7847,90829,118591,822153,64162,1529455,6,Australia and New Zealand
"Palestine, State of",1/1/2019 0:00,-8608,-14444,-1645,-7537,-14846,-2842,-89,-6545,0,Western Asia
Austria,6/1/2020 0:00,46435,-19908,-21088,-94559,-7800,21300,-35592,-67229,51,Western Europe
Honduras,1/1/2019 0:00,-1882,-16539,30198,45300,-1882,-6120,5042,97583,0,Latin America and the Caribbean
France,2/1/2019 0:00,199217,615109,-301183,-332810,152623,-98285,-65589,212579,0,Western Europe
Bahrain,6/1/2020 0:00,-13853,-17821,2688,-16032,-671,-16434,-7914,-26054,2681,Western Asia
Spain,2/1/2019 0:00,-33875,-155589,-242512,488327,290,420234,753840,1274212,0,Southern Europe
Brazil,2/1/2019 0:00,-35089,168794,-120812,16959,33515,1041133,-40816,1107181,0,Latin America and the Caribbean
Barbados,6/1/2020 0:00,-1936,-2165,-733,-1515,147,-1263,-1172,35346,14,Latin America and the Caribbean
Canada,2/1/2019 0:00,-17408,398183,104859,-317152,106149,290838,24094,633060,0,Northern America
Denmark,2/1/2019 0:00,165482,-41455,44084,-46429,93916,182029,-31176,409948,0,Northern Europe
Belgium,6/1/2020 0:00,27937,-147563,-68856,-115998,11802,142891,12222,-93582,254,Western Europe
China,2/1/2019 0:00,-338681,-197815,-324549,-393798,10444,-799895,332489,-1668308,0,Eastern Asia
Belize,6/1/2020 0:00,-1774,10,1457,3609,-95,-112,358,47436,0,Latin America and the Caribbean
United States of America,2/1/2019 0:00,181198,1310331,-922291,-573988,-187364,591598,-612348,-169367,0,Northern America
Netherlands,2/1/2019 0:00,402586,-201973,95678,-40787,70025,402761,291961,1063748,0,Western Europe
Australia,2/1/2019 0:00,68168,362522,27722,61119,99457,790248,75327,1528060,0,Australia and New Zealand
Morocco,2/1/2019 0:00,-18275,-146355,115868,151244,-9675,-3182,150363,283485,0,Northern Africa
Bosnia and Herzegovina,6/1/2020 0:00,-3593,-6304,-851,-6503,-3153,-11310,-1695,10574,67,Southern Europe
Turkey,2/1/2019 0:00,54117,-178532,67924,259953,-31491,36848,80476,332792,0,Western Asia
Ireland,2/1/2019 0:00,130143,-54028,47716,-33570,9718,230911,-24333,350054,0,Northern Europe
Brazil,6/1/2020 0:00,-12546,5479,-16771,21750,30463,1279641,-38809,1313190,1267,Latin America and the Caribbean
Argentina,2/1/2019 0:00,57721,646998,163787,38236,14,200015,58164,1208432,0,Latin America and the Caribbean
New Zealand,2/1/2019 0:00,883454,-33936,108023,-460,9323,555074,39145,1604120,0,Australia and New Zealand
Bulgaria,6/1/2020 0:00,-6781,41856,-3968,-9554,-695,-27805,-1409,35627,41,Eastern Europe
Russian Federation,2/1/2019 0:00,-207189,582097,120793,-411345,-8605,-128557,-158644,-167953,0,Eastern Europe
Thailand,2/1/2019 0:00,-54112,291608,-127968,161114,13118,66823,-7468,386612,0,South-eastern Asia
United Kingdom of Great Britain and Northern Ireland,2/1/2019 0:00,-143782,-96929,-75042,-482818,16675,-251330,-348411,-1338140,0,Northern Europe
Cambodia,6/1/2020 0:00,-5512,17641,-440,5718,-8091,-754,190,52735,0,South-eastern Asia
Italy,2/1/2019 0:00,-33757,-246746,-343735,58333,-139243,-190490,17859,-834282,0,Southern Europe
Lithuania,2/1/2019 0:00,22557,67624,-9411,-13942,1982,2222,-1484,113045,0,Northern Europe
Canada,6/1/2020 0:00,-7329,532409,580648,-435923,85349,350701,274293,1424131,349,Northern America
Poland,2/1/2019 0:00,135964,14493,-52395,-57354,-40573,299008,-14775,327865,0,Eastern Europe
Costa Rica,2/1/2019 0:00,4619,-28132,1743,172681,-30,753,9846,204977,0,Latin America and the Caribbean
Czechia,2/1/2019 0:00,18087,20570,-8008,-47592,23140,-75921,-52812,-79039,0,Eastern Europe
Israel,2/1/2019 0:00,-11638,-77218,-48773,29899,-29480,-55003,19502,-129214,0,Western Asia
Chile,6/1/2020 0:00,-20948,-37652,343288,333289,-897,39056,-6911,693208,3871,Latin America and the Caribbean
Norway,2/1/2019 0:00,-3179,-21935,841659,-57586,-1043,-6047,-39754,755612,0,Northern Europe
China,6/1/2020 0:00,-495980,-780765,-255986,-413499,21145,-2582109,556975,-3906236,0,Eastern Asia
Madagascar,2/1/2019 0:00,-2867,-13893,2121,181,-73,-17,476,29425,0,Sub-Saharan Africa
Colombia,6/1/2020 0:00,-15357,-139937,-793,77975,19380,-4145,-18120,-37014,277,Latin America and the Caribbean
Paraguay,2/1/2019 0:00,-551,36609,-325,-754,-831,77264,-1276,153633,0,Latin America and the Caribbean
Ethiopia,2/1/2019 0:00,-1245,-61441,-45,82,2472,6804,46836,36960,0,Sub-Saharan Africa
Serbia,2/1/2019 0:00,-2063,55803,-2610,23107,-286,-6207,-2846,108395,0,Southern Europe
Costa Rica,6/1/2020 0:00,10656,-43773,-1095,178661,-153,2095,4686,195060,42,Latin America and the Caribbean
South Africa,2/1/2019 0:00,6944,-42761,20471,227407,-8487,-31614,11368,226825,0,Sub-Saharan Africa
Kenya,2/1/2019 0:00,-7942,-60756,-2109,12289,716,5361,18626,9682,0,Sub-Saharan Africa
Croatia,6/1/2020 0:00,-15341,12387,8094,-16606,5888,-21688,-8195,8522,4,Southern Europe
Germany,2/1/2019 0:00,95512,-154147,-237162,-698232,-29887,93721,-615936,-1502634,0,Western Europe
Ecuador,2/1/2019 0:00,-285,-15599,282941,273997,-2172,-484,12206,594101,0,Latin America and the Caribbean
Cyprus,6/1/2020 0:00,24362,-5619,-492,-5936,351,-3787,3148,56010,31,Western Asia
Romania,2/1/2019 0:00,-35575,184251,-16178,-60030,17789,-47406,-65448,20900,0,Eastern Europe
Portugal,2/1/2019 0:00,-11737,-67053,-62057,-8435,2147,-79039,-18860,-201537,0,Southern Europe
Belgium,2/1/2019 0:00,6266,-140069,-63603,-64160,17572,127812,5665,-67020,0,Western Europe
Denmark,6/1/2020 0:00,145630,24894,13864,-70467,140957,214244,-39921,473184,126,Northern Europe
Peru,2/1/2019 0:00,-2529,-129741,83878,193814,-1374,-11213,18254,194586,0,Latin America and the Caribbean
Chile,2/1/2019 0:00,-16066,-99851,500507,521350,41,-17752,5986,937712,0,Latin America and the Caribbean
Bolivia (Plurinational State of),2/1/2019 0:00,4,2884,-1001,10470,-760,635,2096,57825,0,Latin America and the Caribbean
Dominican Republic,6/1/2020 0:00,-17266,-34491,-8691,26443,-508,-12026,-13092,-15648,442,Latin America and the Caribbean
Malaysia,2/1/2019 0:00,-33762,-130005,-24369,-29578,12525,-59065,-31663,-252420,0,South-eastern Asia
Ecuador,6/1/2020 0:00,-390,-34552,331451,321952,-1377,-411,14130,674786,308,Latin America and the Caribbean
Georgia,2/1/2019 0:00,-5782,-9372,-2109,1085,210,-5919,-2070,19540,0,Western Asia
Uruguay,2/1/2019 0:00,41283,28787,6007,-1983,5946,163673,-1207,286003,0,Latin America and the Caribbean
El Salvador,6/1/2020 0:00,-23765,-34653,-227,-6204,290,-13600,-14579,-48755,179,Latin America and the Caribbean
Burkina Faso,2/1/2019 0:00,-2326,-9841,-1204,4018,54,-2,-66,34130,0,Sub-Saharan Africa
Senegal,2/1/2019 0:00,-5343,-75131,29156,358,-14,-821,7893,-405,0,Sub-Saharan Africa
Barbados,2/1/2019 0:00,-2720,-342,-1555,-1880,-126,-2414,-1662,32798,0,Latin America and the Caribbean
Estonia,6/1/2020 0:00,11914,1174,1963,-10712,2707,-6449,-4684,39896,65,Northern Europe
Nicaragua,2/1/2019 0:00,10464,-9984,20387,5875,669,38308,5948,115164,0,Latin America and the Caribbean
Eswatini,6/1/2020 0:00,-1848,-6339,-151,1370,-111,-349,-1467,35088,75,Sub-Saharan Africa
Iceland,2/1/2019 0:00,-188,-1369,142113,-4748,408,-7,-2987,176719,0,Northern Europe
Ethiopia,6/1/2020 0:00,-1638,-22391,0,270,5087,4262,43522,73095,8,Sub-Saharan Africa
Kyrgyzstan,2/1/2019 0:00,1058,-2827,-338,-857,-25,-1542,7019,45985,0,Central Asia
Bosnia and Herzegovina,2/1/2019 0:00,-3499,-11478,-519,-3388,-1494,-10757,-6273,6089,0,Southern Europe
Fiji,6/1/2020 0:00,-2682,-18283,3833,-797,-208,-2099,-1030,22717,0,Melanesia
Namibia,2/1/2019 0:00,-3986,-7686,54432,-1462,9607,744,-2724,92422,0,Sub-Saharan Africa
Finland,6/1/2020 0:00,5902,7939,-19168,-49012,-355,-3624,-28498,-42833,91,Northern Europe
Malawi,2/1/2019 0:00,-931,-5053,-133,1001,-66,-1,137,38451,0,Sub-Saharan Africa
France,6/1/2020 0:00,189874,548219,-345342,-443854,180477,-126987,-134693,-88323,137,Western Europe
Pakistan,2/1/2019 0:00,-10561,208987,29546,32940,-4378,16440,-15305,301166,0,Southern Asia
El Salvador,2/1/2019 0:00,-13057,-18348,-1213,-7653,189,-12090,-7542,-16217,0,Latin America and the Caribbean
Hungary,2/1/2019 0:00,1298,149943,-4302,-16991,12395,25769,-13238,198371,0,Eastern Europe
Georgia,6/1/2020 0:00,-5388,-3650,-1775,592,285,-7432,-1508,25107,23,Western Asia
Uganda,2/1/2019 0:00,1121,-8323,15632,-244,-312,-6,4585,55950,0,Sub-Saharan Africa
Germany,6/1/2020 0:00,134422,-95453,-231471,-938649,-44339,111875,-493248,-1512880,84,Western Europe
Croatia,2/1/2019 0:00,-14371,3890,24106,-14240,3621,-21015,-16256,9232,0,Southern Europe
Greece,2/1/2019 0:00,-14447,-32994,-2902,44067,-3000,-93146,-27075,-86000,0,Southern Europe
Greece,6/1/2020 0:00,23316,-19097,45898,118198,-5729,-94757,-2833,108979,8,Southern Europe
Armenia,2/1/2019 0:00,-2691,-7102,1094,-4246,-59,-5134,922,26281,0,Western Asia
Austria,2/1/2019 0:00,41586,10380,-24040,-70779,-6277,7413,-57595,-55815,0,Western Europe
"Taiwan, Province of China",2/1/2019 0:00,-39476,-57341,47602,-19056,-878,-83588,-2318,-111558,0,Eastern Asia
Belize,2/1/2019 0:00,-1127,7,1865,3263,-52,-80,247,47620,0,Latin America and the Caribbean
Slovakia,2/1/2019 0:00,-10333,21172,-5128,-22938,4851,-34794,-31236,-34909,0,Eastern Europe
Guyana,6/1/2020 0:00,-2517,20947,4059,250,-15,-37,-1336,65334,37,Latin America and the Caribbean
Dominican Republic,2/1/2019 0:00,-19824,-26818,-13045,22039,-883,-17163,3138,-9059,0,Latin America and the Caribbean
Indonesia,2/1/2019 0:00,-54301,-279870,208694,-17200,-49465,-40822,-8166,-197633,0,South-eastern Asia
Niger,2/1/2019 0:00,-2065,-31465,-370,-443,1906,-278,4640,15422,0,Sub-Saharan Africa
Switzerland,2/1/2019 0:00,3694,-26604,-42986,-90085,-8248,-42101,-67766,-230599,0,Western Europe
Latvia,2/1/2019 0:00,9323,14476,-5563,-8674,2563,-5441,-7438,42743,0,Northern Europe
Hungary,6/1/2020 0:00,-3831,112714,-2590,-19718,15246,21628,4624,172056,37,Eastern Europe
Philippines,2/1/2019 0:00,-97114,-272920,-15127,146837,-1506,-78054,-4255,-278642,0,South-eastern Asia
Iceland,6/1/2020 0:00,-468,-2704,160311,-5685,361,-931,-3137,191730,12,Northern Europe
"Korea, Republic of",2/1/2019 0:00,-79167,-216350,-211209,-98623,-3181,-349612,-30276,-944921,0,Eastern Asia
Nigeria,2/1/2019 0:00,-22317,-88187,-55286,-272,-2,-138,-1004,-123709,0,Sub-Saharan Africa
Indonesia,6/1/2020 0:00,-113600,-229600,228194,-60183,-42122,-58740,-148078,-380146,32,South-eastern Asia
Japan,2/1/2019 0:00,-152513,-508155,-657405,-207850,-20114,-780801,-180339,-2463680,0,Eastern Asia
Slovenia,2/1/2019 0:00,-478,-3927,-5535,-7544,3509,-6038,-11138,12346,0,Southern Europe
Cyprus,2/1/2019 0:00,13607,-10140,-2583,-1438,-259,-6550,2335,38469,0,Western Asia
Ireland,6/1/2020 0:00,295622,-20743,39323,-42867,12004,249312,-18965,557669,173,Northern Europe
Guyana,2/1/2019 0:00,-1090,5987,7788,503,12,-154,-929,55614,0,Latin America and the Caribbean
Israel,6/1/2020 0:00,-11490,-65627,-43125,-21401,-27247,-32872,10619,-147160,66,Western Asia
Eswatini,2/1/2019 0:00,-2399,-4024,-231,-147,22,-283,-1477,34958,0,Sub-Saharan Africa
Italy,6/1/2020 0:00,3792,-203031,-283782,-111771,-129971,-185386,-6351,-872517,121,Southern Europe
Cambodia,2/1/2019 0:00,-2478,35304,-127,1822,-557,-596,836,77701,0,South-eastern Asia
Colombia,2/1/2019 0:00,-12042,-122726,-11681,77329,-2214,-23602,-9937,-61376,0,Latin America and the Caribbean
Japan,6/1/2020 0:00,-162967,-448200,-660406,-360657,-11739,-845277,-179496,-2624759,4,Eastern Asia
Saint Vincent and the Grenadines,2/1/2019 0:00,-493,99,127,38,-12,-1160,7,42103,0,Latin America and the Caribbean
Jordan,6/1/2020 0:00,-19728,-100506,-4927,-77,-7022,-27249,10148,-105378,11,Western Asia
Bulgaria,2/1/2019 0:00,-1038,98274,-7039,-8816,319,-21903,-10272,93022,0,Eastern Europe
Kazakhstan,6/1/2020 0:00,-21709,96247,-1946,-37662,-3454,-17577,-11861,46021,240,Central Asia
Togo,2/1/2019 0:00,704,-4235,-2344,64,-40,-1525,-115,36006,0,Sub-Saharan Africa
Zambia,2/1/2019 0:00,1412,-893,-6907,-1052,302,-855,-383,35121,0,Sub-Saharan Africa
Congo,2/1/2019 0:00,-886,-3370,-4836,-111,-13,-8016,-637,25628,0,Sub-Saharan Africa
Kyrgyzstan,6/1/2020 0:00,2368,-4444,453,-3466,1692,-3939,-2954,33693,91,Central Asia
Lesotho,2/1/2019 0:00,-1380,-1635,434,-539,-550,-2459,-1086,36282,0,Sub-Saharan Africa
Luxembourg,2/1/2019 0:00,4653,-5015,-6946,-15446,1699,-9570,-7251,5621,0,Western Europe
Latvia,6/1/2020 0:00,10989,19325,-5094,-11205,2227,-8850,-5260,46115,31,Northern Europe
Sweden,2/1/2019 0:00,-60249,-30088,-36013,-73588,-1149,-63111,-64782,-285483,0,Northern Europe
Kazakhstan,2/1/2019 0:00,-13698,140216,-2640,-19653,-3670,-9167,1657,136542,0,Central Asia
Lesotho,6/1/2020 0:00,-1618,-3262,126,-302,-375,-2371,-1057,35124,0,Sub-Saharan Africa
Cabo Verde,2/1/2019 0:00,-3204,-1464,251,-968,-48,-1594,-1536,34934,0,Sub-Saharan Africa
Seychelles,2/1/2019 0:00,-1628,-789,-6675,-634,68,-1106,-1090,31643,0,Sub-Saharan Africa
Estonia,2/1/2019 0:00,11347,13270,2042,-6641,1887,-5389,-5411,54602,0,Northern Europe
Singapore,2/1/2019 0:00,-58965,-14403,-36761,-35495,-13548,-49329,-35830,-200834,0,South-eastern Asia
Lithuania,6/1/2020 0:00,21808,31904,2623,-14929,3568,-4928,-5696,78333,45,Northern Europe
Curaçao,2/1/2019 0:00,-2601,-574,-1254,-1369,-1,-3863,-1421,32414,0,Latin America and the Caribbean
Malta,2/1/2019 0:00,-4747,-3356,13312,-3384,11,-5034,-2171,38128,0,Southern Europe
Fiji,2/1/2019 0:00,-2350,-1184,4320,-687,-231,-2429,-1520,39416,0,Melanesia
Luxembourg,6/1/2020 0:00,3740,-2952,-7786,-21910,1608,-11884,-9144,-4345,113,Western Europe
Aruba,2/1/2019 0:00,-2591,-368,-2048,-1433,-71,-3135,-1957,31894,0,Latin America and the Caribbean
Mozambique,2/1/2019 0:00,-2858,-43070,-7962,22085,-303,-1584,3146,12951,0,Sub-Saharan Africa
Malawi,6/1/2020 0:00,-785,-4216,-798,2872,-213,-167,1493,42169,14,Sub-Saharan Africa
Malaysia,6/1/2020 0:00,-34088,-170667,-11069,-30541,11946,-49292,-52244,-291972,28,South-eastern Asia
Macao,2/1/2019 0:00,-4422,-1638,-10192,-3788,-2596,-11682,-3821,5358,0,Eastern Asia
Maldives,6/1/2020 0:00,-2531,-2071,6228,-1537,-1,-387,-2307,41377,1330,Southern Asia
Finland,2/1/2019 0:00,6904,10886,-16195,-39759,-177,-10139,-26224,-31207,0,Northern Europe
Mauritius,2/1/2019 0:00,-7259,-7298,-10646,-2523,953,-4745,-2203,9776,0,Sub-Saharan Africa
Malta,6/1/2020 0:00,-4715,-1055,-9454,-3510,-2,-4975,-1638,18634,118,Southern Europe
Maldives,2/1/2019 0:00,-4603,-2380,10724,-5199,-9,-4841,-4787,32402,0,Southern Asia
Bahrain,2/1/2019 0:00,-5881,-6318,-2222,-9506,-861,-13677,-5725,-693,0,Western Asia
Hong Kong,2/1/2019 0:00,-112861,-22352,-175249,-53726,-33948,-215765,-44212,-614616,0,Eastern Asia
Mauritius,6/1/2020 0:00,-8908,-6608,-12652,-1995,2002,-4748,-3540,7534,2,Sub-Saharan Africa
"Tanzania, United Republic of",2/1/2019 0:00,-721,5390,24605,1933,676,827,8118,84325,0,Sub-Saharan Africa
Samoa,2/1/2019 0:00,-851,-335,568,28,-2,-891,-90,41924,0,Polynesia
Brunei Darussalam,2/1/2019 0:00,-3220,-4858,-2591,-2924,-245,-1047,-1991,26621,0,South-eastern Asia
United Arab Emirates,2/1/2019 0:00,-61324,-50027,-32363,-51087,-7329,-108654,-39703,-306990,0,Western Asia
Antigua and Barbuda,2/1/2019 0:00,-1183,-157,-713,-814,-11,-1715,-946,37958,0,Latin America and the Caribbean
Saint Lucia,2/1/2019 0:00,-981,-226,-389,3,4,-1434,-682,39792,0,Latin America and the Caribbean
Sao Tome and Principe,2/1/2019 0:00,-218,-434,-21,-1,-5,-251,-224,42343,0,Sub-Saharan Africa
Morocco,6/1/2020 0:00,-16886,-150983,83965,9226,-4798,-1474,28128,-8839,24,Northern Africa
Bermuda,2/1/2019 0:00,-1074,-114,-888,-1044,-34,-1719,-940,37684,0,Northern America
Mozambique,6/1/2020 0:00,-2231,-45609,-931,7093,-500,-3494,1864,175,3,Sub-Saharan Africa
India,2/1/2019 0:00,42889,737778,385797,26618,2467,243170,15670,1497886,0,Southern Asia
Namibia,6/1/2020 0:00,-3114,-2344,45453,-1306,6232,744,-670,88978,3,Sub-Saharan Africa
Dominica,2/1/2019 0:00,-286,-110,-117,79,-34,-536,8,42501,0,Latin America and the Caribbean
Guatemala,2/1/2019 0:00,-18059,-23295,-3966,97432,-1272,-16290,31125,109172,0,Latin America and the Caribbean
Netherlands,6/1/2020 0:00,342360,-205690,53953,-76731,62340,413297,499990,1133502,140,Western Europe
New Zealand,6/1/2020 0:00,800034,-23620,60959,276985,11709,445620,10420,1626090,1,Australia and New Zealand
"Palestine, State of",2/1/2019 0:00,-7827,-11296,-1245,-7479,-14075,-3793,-370,-2588,0,Western Asia
Nicaragua,6/1/2020 0:00,12402,-13869,17822,3400,-413,36296,9360,108981,110,Latin America and the Caribbean
Honduras,2/1/2019 0:00,-1574,-17864,15846,42046,-1710,-5092,5690,80839,0,Latin America and the Caribbean
Niger,6/1/2020 0:00,-3526,-29030,-232,-60,767,-370,2095,13627,2,Sub-Saharan Africa
France,3/1/2019 0:00,218361,784977,-335075,-332792,168790,-127381,-36222,384183,0,Western Europe
Spain,3/1/2019 0:00,-39074,-236924,-289044,629848,-1846,467930,799049,1373464,0,Southern Europe
Brazil,3/1/2019 0:00,-17095,9156,-119440,10394,38257,1098234,-39081,1023950,0,Latin America and the Caribbean
Norway,6/1/2020 0:00,-11065,-16498,809061,-77218,-1521,-11402,-37153,698187,35,Northern Europe
Canada,3/1/2019 0:00,-17492,545012,111991,-357396,128265,352269,-63399,742775,0,Northern America
Denmark,3/1/2019 0:00,168106,-13844,43436,-53582,105936,190894,-33215,451256,0,Northern Europe
China,3/1/2019 0:00,-371339,-289513,-88926,-517706,4488,-1073492,681089,-1611874,0,Eastern Asia
Pakistan,6/1/2020 0:00,-3947,144164,33059,24841,727,26347,-72487,196687,144,Southern Asia
United States of America,3/1/2019 0:00,221583,1335231,-873676,-616098,-200231,601621,-697682,-185727,0,Northern America
Netherlands,3/1/2019 0:00,447259,-201921,99636,-53866,59806,445416,401242,1241097,0,Western Europe
Australia,3/1/2019 0:00,70898,370652,23947,103760,105087,960673,75588,1754130,0,Australia and New Zealand
Morocco,3/1/2019 0:00,-16904,-150395,98334,204179,-7838,-1691,149336,318546,0,Northern Africa
Turkey,3/1/2019 0:00,67934,-284466,86237,221019,-55227,42787,67769,189578,0,Western Asia
Paraguay,6/1/2020 0:00,968,49503,-201,252,-1016,100073,-2486,191076,29,Latin America and the Caribbean
Ireland,3/1/2019 0:00,139701,-37009,51015,-39053,19982,257915,-23202,412874,0,Northern Europe
Peru,6/1/2020 0:00,-19477,-118774,47745,232556,-1812,-9427,31184,205978,2251,Latin America and the Caribbean
Argentina,3/1/2019 0:00,56695,860536,167316,44827,-553,213391,39474,1425211,0,Latin America and the Caribbean
Philippines,6/1/2020 0:00,-119008,-300410,6888,152939,-3113,-62754,-14478,-295953,53,South-eastern Asia
New Zealand,3/1/2019 0:00,945688,-10528,112459,118405,20133,596643,58872,1885197,0,Australia and New Zealand
Poland,6/1/2020 0:00,154945,58229,-46464,-94040,-63080,299828,34001,387402,140,Eastern Europe
Russian Federation,3/1/2019 0:00,-224209,542164,275086,-429332,-41305,-143029,-188535,-165635,0,Eastern Europe
Portugal,6/1/2020 0:00,-23754,-51096,-105827,-12115,3145,-71623,3976,-213311,343,Southern Europe
Thailand,3/1/2019 0:00,-36464,369140,-126578,230583,19578,73336,30820,603940,0,South-eastern Asia
United Kingdom of Great Britain and Northern Ireland,3/1/2019 0:00,-141292,-98500,-63767,-556897,14699,-288248,-387610,-1478090,0,Northern Europe
Romania,6/1/2020 0:00,-32936,118017,-14574,-59989,17204,-64592,-19206,-12093,123,Eastern Europe
Italy,3/1/2019 0:00,-11745,-226380,-398245,-30057,-145331,-188837,20018,-937052,0,Southern Europe
Lithuania,3/1/2019 0:00,19446,11721,8454,-12392,1668,-520,490,72392,0,Northern Europe
Poland,3/1/2019 0:00,154127,21505,-44391,-63589,-48378,347257,-20528,389528,0,Eastern Europe
Costa Rica,3/1/2019 0:00,7639,-23627,-2405,202204,-403,-324,9064,235673,0,Latin America and the Caribbean
Czechia,3/1/2019 0:00,17551,16756,-7305,-54499,25222,-86219,-58920,-103889,0,Eastern Europe
Israel,3/1/2019 0:00,-13962,-94185,-42161,24816,-22390,-59996,33960,-130393,0,Western Asia
Paraguay,3/1/2019 0:00,-1508,35515,-470,-502,-779,82399,-1349,156831,0,Latin America and the Caribbean
Madagascar,3/1/2019 0:00,-1252,-19895,4371,152,-47,1,507,27362,0,Sub-Saharan Africa
Norway,3/1/2019 0:00,-3698,-25347,997077,-65231,-166,-6980,-44805,894375,0,Northern Europe
Ethiopia,3/1/2019 0:00,-1502,-39821,-198,-766,5302,7262,51799,65601,0,Sub-Saharan Africa
Senegal,6/1/2020 0:00,-6028,-40846,40443,9700,-214,-806,2182,48414,69,Sub-Saharan Africa
Serbia,3/1/2019 0:00,-2793,65493,-3669,26034,606,-5666,-4963,118567,0,Southern Europe
Serbia,6/1/2020 0:00,-4464,67701,-1948,42003,2106,-8930,-3530,136921,106,Southern Europe
Kenya,3/1/2019 0:00,-8687,-73761,2846,19667,2894,4924,14965,6373,0,Sub-Saharan Africa
Seychelles,6/1/2020 0:00,-1552,-1050,-8285,-502,-29,-1839,-1017,29709,0,Sub-Saharan Africa
South Africa,3/1/2019 0:00,5665,-39468,13169,217471,-13446,-28774,14874,213016,0,Sub-Saharan Africa
Germany,3/1/2019 0:00,143591,-131913,-229679,-674017,-28189,68844,-576059,-1383897,0,Western Europe
Singapore,6/1/2020 0:00,-70595,-37259,-37319,-52284,-15534,-79778,-50469,-299255,1274,South-eastern Asia
Ecuador,3/1/2019 0:00,-510,-46821,347797,307613,-1744,-510,11810,661160,0,Latin America and the Caribbean
Slovakia,6/1/2020 0:00,-13960,24411,-4607,-29234,6231,-40201,-22845,-36222,5,Eastern Europe
Romania,3/1/2019 0:00,-34519,174899,-20577,-62616,18410,-49841,-74872,-5591,0,Eastern Europe
Slovenia,6/1/2020 0:00,576,806,-5113,-10646,5697,-6866,-7883,20554,3,Southern Europe
Portugal,3/1/2019 0:00,-23179,-69582,-91901,-8239,12479,-82549,-19717,-239163,0,Southern Europe
Belgium,3/1/2019 0:00,-13995,-152233,-66830,-71124,17477,130494,1013,-111673,0,Western Europe
Peru,3/1/2019 0:00,-8111,-89606,128037,162263,-1499,-12748,20884,242745,0,Latin America and the Caribbean
South Africa,6/1/2020 0:00,2914,35465,24572,424896,4587,-5006,5720,537131,299,Sub-Saharan Africa
Malaysia,3/1/2019 0:00,-29926,-136642,-31118,-57378,10068,-79622,-49578,-330671,0,South-eastern Asia
Bolivia (Plurinational State of),3/1/2019 0:00,-325,4779,-1315,14638,-494,623,935,62366,0,Latin America and the Caribbean
Chile,3/1/2019 0:00,-19179,-32745,503971,534767,-899,-28278,6605,1007767,0,Latin America and the Caribbean
Georgia,3/1/2019 0:00,-6145,-9443,-3267,-817,230,-8042,-2395,13646,0,Western Asia
Spain,6/1/2020 0:00,-23960,-124849,-211649,724988,24174,678382,375360,1486429,172,Southern Europe
Uruguay,3/1/2019 0:00,43675,26879,3944,-2227,11078,164909,-750,291033,0,Latin America and the Caribbean
Burkina Faso,3/1/2019 0:00,-3338,-10413,-1436,26806,-92,-85,250,55217,0,Sub-Saharan Africa
Senegal,3/1/2019 0:00,-5317,-21210,34894,2003,-227,-1425,12309,64552,0,Sub-Saharan Africa
Barbados,3/1/2019 0:00,-3108,-2202,-2035,-1873,127,-2518,-1317,30599,0,Latin America and the Caribbean
Nicaragua,3/1/2019 0:00,9103,-9096,17068,6787,7,41798,14102,123294,0,Latin America and the Caribbean
Sweden,6/1/2020 0:00,-63176,11014,-48137,-99177,-132,-70734,-56144,-282503,803,Northern Europe
Iceland,3/1/2019 0:00,-616,-3261,177686,-4249,290,-1038,-2847,209490,0,Northern Europe
